ปี,ประเภททางหลวง,จำนวนช่องจราจร,ดัชนีการจราจร,ความหนาแน่นการจราจร
2018,1 หลัก,2 ช่องจราจร,1.440,31.923
2018,2 หลัก,2 ช่องจราจร,0.567,8.190
2018,3 หลัก,2 ช่องจราจร,0.807,15.638
2018,4 หลัก,2 ช่องจราจร,0.521,8.398
2018,Freeway (Motorway),2 ช่องจราจร,,
2018,1 หลัก,4 ช่องจราจร,0.553,14.443
2018,2 หลัก,4 ช่องจราจร,0.384,7.508
2018,3 หลัก,4 ช่องจราจร,0.441,11.345
2018,4 หลัก,4 ช่องจราจร,0.281,6.363
2018,Freeway (Motorway),4 ช่องจราจร,1.085,40.822
2018,1 หลัก,มากกว่า 4 ช่องจราจร,0.665,20.007
2018,2 หลัก,มากกว่า 4 ช่องจราจร,0.704,21.531
2018,3 หลัก,มากกว่า 4 ช่องจราจร,0.478,12.283
2018,4 หลัก,มากกว่า 4 ช่องจราจร,0.395,8.991
2018,Freeway (Motorway),มากกว่า 4 ช่องจราจร,1.110,37.465
