YEAR,MONTH,MIN,MAX,MEAN
1970,1,0.00,387.69,24.48
1970,2,0.00,165.09,15.17
1970,3,0.00,198.38,47.72
1970,4,5.01,273.73,90.82
1970,5,47.20,510.25,212.97
1970,6,24.25,1338.67,258.25
1970,7,30.74,848.00,200.41
1970,8,48.01,1032.78,299.39
1970,9,46.22,857.07,264.99
1970,10,10.35,524.27,129.22
1970,11,0.00,1021.21,79.05
1970,12,0.00,703.60,77.81
1971,1,0.00,146.20,7.28
1971,2,0.00,212.97,24.78
1971,3,0.00,196.74,33.11
1971,4,0.00,173.49,65.81
1971,5,47.97,545.68,214.91
1971,6,26.38,1076.04,210.17
1971,7,23.20,692.70,200.35
1971,8,59.92,819.30,270.52
1971,9,64.84,462.63,209.44
1971,10,7.71,734.52,158.48
1971,11,0.00,864.79,61.41
1971,12,0.00,651.38,55.30
1972,1,0.00,92.80,4.39
1972,2,0.00,120.26,20.90
1972,3,0.00,196.57,39.95
1972,4,19.51,377.64,108.27
1972,5,5.90,254.40,89.55
1972,6,52.61,771.24,213.14
1972,7,19.31,913.69,176.16
1972,8,9.68,761.68,198.42
1972,9,62.32,739.80,269.76
1972,10,46.43,388.89,167.98
1972,11,0.50,658.65,117.38
1972,12,0.00,433.49,43.38
1973,1,0.00,109.20,6.12
1973,2,0.00,102.69,4.09
1973,3,0.00,369.77,54.90
1973,4,0.00,243.93,39.18
1973,5,40.11,363.79,177.69
1973,6,33.51,1064.60,184.41
1973,7,38.73,1088.56,224.72
1973,8,47.01,1209.70,225.50
1973,9,60.16,719.87,279.67
1973,10,3.81,592.59,116.73
1973,11,0.00,736.88,80.55
1973,12,0.00,1299.16,58.84
1974,1,0.00,168.70,5.90
1974,2,0.00,141.10,13.66
1974,3,0.19,212.97,48.34
1974,4,12.41,311.74,116.76
1974,5,43.11,376.22,172.89
1974,6,19.34,464.29,135.11
1974,7,39.94,736.40,171.55
1974,8,36.20,1100.60,273.90
1974,9,52.26,595.32,222.43
1974,10,22.97,779.00,200.95
1974,11,3.20,873.01,119.88
1974,12,0.00,838.38,47.04
1975,1,0.90,1239.47,112.53
1975,2,0.00,158.49,23.01
1975,3,0.00,144.59,33.42
1975,4,0.00,228.29,37.29
1975,5,88.31,515.79,217.16
1975,6,36.26,1718.20,209.00
1975,7,13.91,712.90,198.73
1975,8,34.89,1232.86,259.90
1975,9,70.22,577.87,246.52
1975,10,26.88,740.57,190.25
1975,11,0.00,616.89,86.24
1975,12,0.00,602.40,41.83
1976,1,0.00,154.75,2.14
1976,2,0.00,149.70,17.96
1976,3,0.00,220.70,34.49
1976,4,2.91,238.65,79.66
1976,5,78.59,1056.37,200.26
1976,6,19.44,523.10,130.39
1976,7,46.81,981.60,208.89
1976,8,43.70,672.50,243.23
1976,9,39.91,791.80,253.32
1976,10,71.61,461.08,197.07
1976,11,0.00,1497.67,114.19
1976,12,0.00,229.89,13.66
1977,1,0.00,287.74,27.88
1977,2,0.00,346.30,11.21
1977,3,0.00,153.98,25.69
1977,4,0.00,196.49,74.32
1977,5,28.91,381.80,151.96
1977,6,8.10,752.70,108.16
1977,7,34.70,882.40,170.06
1977,8,24.05,1004.20,227.04
1977,9,32.50,1123.00,256.09
1977,10,5.71,580.87,131.13
1977,11,0.00,759.21,64.29
1977,12,0.00,386.29,33.10
1978,1,0.00,262.50,28.19
1978,2,0.00,256.76,30.08
1978,3,0.00,116.69,23.84
1978,4,2.50,284.39,84.59
1978,5,84.37,452.09,200.91
1978,6,14.93,833.40,167.96
1978,7,51.15,957.47,286.33
1978,8,15.16,1275.70,232.93
1978,9,86.50,982.26,305.97
1978,10,4.90,366.00,99.19
1978,11,0.00,481.09,35.51
1978,12,0.00,390.79,24.96
1979,1,0.00,59.49,5.51
1979,2,0.00,82.09,13.99
1979,3,0.00,87.50,5.05
1979,4,3.04,469.40,94.05
1979,5,28.21,595.28,187.96
